Date,Hour,Value,MonthBlock,IsCancelled,IsPrivate
2025-03-08,13:00:00,H,3,0,0
2025-03-08,13:00:00,WBD,3,0,0
2025-03-09,13:00:00,H,3,0,0
2025-03-09,13:00:00,M,3,0,0
2025-03-09,13:00:00,WBD,3,0,0
2025-03-10,13:00:00,H,3,0,0
2025-03-10,13:00:00,WBD,3,0,0
2025-03-11,13:00:00,H,3,0,0
2025-03-11,13:00:00,M,3,0,0
2025-03-12,13:00:00,M,3,0,0
2025-03-13,13:00:00,H,3,0,0
2025-03-13,13:00:00,WBD,3,0,0
2025-03-14,13:00:00,WBD,3,0,0
2025-03-15,13:00:00,EK,3,0,0
2025-03-16,13:00:00,H,3,0,0
2025-03-16,13:00:00,O,3,0,0
2025-03-17,13:00:00,WBD,3,0,0
2025-03-18,13:00:00,H,3,0,0
2025-03-18,13:00:00,WBD,3,0,0
2025-03-19,13:00:00,M,3,0,0
2025-03-20,13:00:00,EK,3,0,0
2025-03-21,13:00:00,M,3,0,0
2025-03-21,13:00:00,P,3,0,0
2025-03-22,13:00:00,WBD,3,0,0
2025-03-23,13:00:00,WBD,3,0,0
2025-03-24,13:00:00,M,3,0,0
2025-03-24,13:00:00,WBD,3,0,0
2025-03-25,13:00:00,WBD,3,0,0
2025-03-26,13:00:00,M,3,0,0
2025-03-26,13:00:00,P,3,0,0
2025-03-26,13:00:00,WBD,3,0,0
2025-03-27,13:00:00,M,3,0,0
2025-03-27,13:00:00,P,3,0,0
2025-03-28,13:00:00,WBD,3,0,0
2025-03-29,13:00:00,WBD,3,0,0
2025-03-30,13:00:00,CANCELLED,3,1,0
2025-03-31,13:00:00,CANCELLED,3,1,0
2025-04-01,09:00:00,CANCELLED,4,1,0
2025-04-02,09:00:00,WBD,4,0,0
2025-04-03,09:00:00,EK,4,0,0
2025-04-04,09:00:00,M,4,0,0
2025-04-04,09:00:00,H,4,0,0
2025-04-05,09:00:00,EK,4,0,0
2025-04-06,09:00:00,M,4,0,0
2025-04-06,09:00:00,P,4,0,0
2025-04-06,09:00:00,Puffins,4,0,0
2025-04-07,09:00:00,H,4,0,0
2025-04-07,09:00:00,P,4,0,0
2025-04-08,09:00:00,WBD,4,0,0
2025-04-08,09:00:00,M,4,0,0
2025-04-09,09:00:00,CANCELLED,4,1,0
2025-04-10,09:00:00,H,4,0,0
2025-04-10,09:00:00,M,4,0,0
2025-04-10,09:00:00,WBD,4,0,0
2025-04-11,09:00:00,CANCELLED,4,1,0
2025-04-12,09:00:00,WBD,4,0,0
2025-04-13,09:00:00,WBD,4,0,0
2025-04-14,09:00:00,CANCELLED,4,1,0
2025-04-15,09:00:00,H,4,0,0
2025-04-15,09:00:00,M,4,0,0
2025-04-16,09:00:00,H,4,0,0
2025-04-16,09:00:00,MW,4,0,0
2025-04-17,09:00:00,H,4,0,0
2025-04-18,09:00:00,H,4,0,0
2025-04-18,09:00:00,M,4,0,0
2025-04-19,09:00:00,H,4,0,0
2025-04-19,09:00:00,WBD,4,0,0
2025-04-20,09:00:00,WBD,4,0,0
2025-04-20,09:00:00,M,4,0,0
2025-04-21,09:00:00,M,4,0,0
2025-04-21,09:00:00,WBD,4,0,0
2025-04-22,09:00:00,H,4,0,0
2025-04-22,09:00:00,M,4,0,0
2025-04-23,09:00:00,H,4,0,0
2025-04-23,09:00:00,M,4,0,0
2025-04-24,09:00:00,M,4,0,0
2025-04-25,09:00:00,EK,4,0,0
2025-04-26,09:00:00,H,4,0,0
2025-04-27,09:00:00,M,4,0,0
2025-04-27,09:00:00,WBD,4,0,0
2025-04-28,09:00:00,H,4,0,0
